row,folio,cell,reuse_flag,prediction,MATCH (1/0),notes
1,f11v,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
2,f43v,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
3,f8r,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
4,f41r,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
5,f35r,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
6,f19v,cthor,REUSED,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
7,f46r,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
8,f30v,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
9,f3v,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
10,f5r,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
11,f16r,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
12,f37v,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
13,f11r,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
14,f10v,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
15,f54v,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
16,f45v,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
17,f32v,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
18,f22v,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
19,f37r,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
20,f1r,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
21,f42r,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
22,f44v,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
23,f49v,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
24,f38v,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
25,f19v,cthol,REUSED,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
26,f6v,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
27,f3r,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
28,f52v,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
29,f46v,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
30,f18r,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
31,f27r,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
32,f25r,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
33,f4v,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
34,f36r,cthol,,"Foliage shows broad, flat, entire-margined morphology (broad lamina dominant / smooth or near-smooth margins / no pronounced lobing or dentition). MATCH if any apply.",,
35,f29r,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
36,f52r,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
37,f20v,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
38,f47r,cthey,,Foliage shows repeating-rounded-units OR scale-invariant pattern (rounded leaflet clusters / palmate or digitate with rounded tips / repeating small rounded units). MATCH if any apply.,,
39,f9v,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
40,f17v,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
41,f40v,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
42,f34r,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
43,f10r,cthor,,"Foliage shows angular, lobed, pointed, dentate, OR spiny morphology (pointed lobes / sharp serrations / spine-like projections / dentate margins / sharply angular leaf form). MATCH if any apply.",,
44,f27v,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
45,f21v,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
46,f26v,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
47,f15r,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
48,f44r,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
49,f33v,no_cth,,Image is flower-dominant OR foliage is neutral (no strong angular / broad-flat / deeply-cut / rounded-cluster signature). MISS only if image strongly matches one of the other gestalt classes.,,
50,f45r,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
51,f29v,cthy,,Foliage shows deeply-cut OR pinnate-compound morphology (deeply incised leaves / pinnate compound leaves / fern-like / carrot-leaf morphology). MATCH if any apply.,,
